# Baza: msnbc — słówka i sformułowania z transkrypcji programów MSNBC / MS NOW
# Format: po polsku ; in English   (kilka poprawnych wersji rozdziel ukośnikiem)
#
# ===== 2026-09-21: Massie vs Hegseth, bazy na Bliskim Wschodzie, sondaże Kansas/Floryda, Rove/Rosenthal, Schiff/Patel =====

# --- Kongres, polityka, wybory ---
dzień roboczy ; a weekday
nie mieć nic konkretnego do powiedzenia ; to have nothing of substance to contribute
krytykować, poddawać krytyce ; to critique
rzucić obelgą ; to throw an insult
częsta obelga, oklepana zniewaga ; a common insult
dokładnie te same obelgi ; the same exact insults
mieć coś do kogoś, mieć z kimś problem ; to have a problem with someone
Kropka. Koniec dyskusji. ; Period.
wyrzucić kogoś z kraju ; to kick someone out of the country
chcę, żeby było jasne ; I want to be clear
riposta, cięta odpowiedź ; a comeback
pyskówka, przekrzykiwanie się ; a shouting match
bez długich przemówień ; no long speech
rozgromić, sprać na kwaśne jabłko ; to trounce
najmniej lubiane przez niego panie ; his least favorite ladies
zmierzyć się z kimś, stanąć przeciwko komuś ; to go against someone
brzmi jak wyzwanie ; it sounds like a challenge
trollować kogoś, zaczepiać dla draki ; to troll someone
wyzwanie bez odpowiedzi ; an unanswered challenge
odpowiedź w pięciu słowach ; a five-word reply
przystać na czyjeś własne warunki ; to accept someone's own terms
udowodnić swoją inteligencję ; to prove one's intelligence
być gotowym do rywalizacji ; to be willing to compete
stawić się, pokazać się ; to show up
nigdy nie stawić się na zawody ; to never appear for the contest

# --- Telewizja, show, test ---
zorientować się, co ma w ręku ; to realize what he had
zorganizować coś na antenie, poprowadzić w telewizji ; to host something on television
te same pytania, te same zasady, te same kamery ; same questions, same rules, same cameras
celowo publicznie ; deliberately public
wyprodukować program-konkurs ; to produce the contest
wyświetlić pytania na ekranie ; to put the questions on screen
przerobić ten sam materiał ; to work through the same material
widzowie ; viewers
widownia, publiczność ; the audience
zapowiedź, przedsmak ; a preview
rozpoznać (np. obrazek) ; to identify
powtórzyć krótką listę słów ; to repeat a short list of words
celowo elementarne (zadania) ; intentionally basic
dojść do dalszych pytań ; to reach later questions
dostrzec prawidłowość ; to notice a pattern
często nazywać kogoś ; to frequently refer to someone as
zwykle są to kobiety ; they tend to be women
kobiety o innym kolorze skóry ; women of color
tak mówiła moja mama ; that's what my mama said
faktycznie wziąć udział ; to actually participate
udostępnić komuś scenę ; to offer someone the stage
klip, fragment nagrania ; a clip
i tu ten klip staje się przydatny ; that is where the clip becomes useful

# --- Narracja, zwroty ogólne ---
nie marnujmy czasu ; let's not waste our time
kongresmen, członek Kongresu (neutralnie) ; a congressperson
kongresmenka ; a congresswoman
prawnik, adwokat ; a lawyer
przenieść coś do swojego programu ; to bring something onto one's show
to miało znaczenie, bo ; that mattered because
wygłosić (obelgę) publicznie ; to deliver an insult publicly
prywatna kłótnia ; a private argument
zostać zignorowanym ; to be ignored
jasna decyzja: tak albo nie ; a clear yes or no decision
nie poprzestać na czymś ; to not stop at something
zwrócić na coś uwagę, wytknąć ; to point out
powtarzać się, dziać się wielokrotnie ; to happen repeatedly
retoryka ; rhetoric
przesunąć ciężar historii z... na... ; to shift the story away from... toward...
doskonale zdaję sobie sprawę ; I am very well aware
zakończyć paraliż rządu ; to end the shutdown
paraliż rządu (wstrzymanie pracy administracji) ; a government shutdown
Gabinet Owalny ; the Oval Office
wskazać konkretny test ; to name the test
opisać własny wynik ; to describe one's own performance
rywalizować, konkurować ; to compete
pozostało jedno oczywiste pytanie ; that left one obvious question
w późniejszym wywiadzie ; in a later interview
przypadkowa, jednorazowa uwaga ; one stray remark
to stało się stałym elementem sposobu, w jaki o niej mówi ; it had become part of the way he talks about her
zadziałało, bo ; it worked because
ocenić, co to oznacza, jeśli ; to decide what it means if
